Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,1,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,1,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,1,0,NULL,NULL,NULL
2020-03-06,12,2,NULL,NULL,NULL
2020-03-07,0,2,NULL,NULL,NULL
2020-03-08,34,7,NULL,NULL,NULL
2020-03-09,6,8,NULL,NULL,NULL
2020-03-10,4,8,NULL,NULL,NULL
2020-03-11,1,8,NULL,NULL,NULL
2020-03-12,7,9,NULL,NULL,NULL
2020-03-13,13,9,NULL,NULL,NULL
2020-03-14,29,13,NULL,NULL,NULL
2020-03-15,1,9,NULL,NULL,NULL
2020-03-16,40,14,NULL,NULL,NULL
2020-03-17,46,20,NULL,NULL,NULL
2020-03-18,0,19,NULL,NULL,NULL
2020-03-19,60,27,NULL,NULL,NULL
2020-03-20,29,29,NULL,NULL,NULL
2020-03-21,9,26,NULL,NULL,NULL
2020-03-22,33,31,NULL,NULL,NULL
2020-03-23,39,31,NULL,NULL,NULL
2020-03-24,36,29,NULL,NULL,NULL
2020-03-25,54,37,NULL,NULL,NULL
2020-03-26,39,34,NULL,NULL,NULL
2020-03-27,41,36,NULL,NULL,NULL
2020-03-28,40,40,NULL,NULL,NULL
2020-03-29,33,40,NULL,NULL,NULL
2020-03-30,47,41,NULL,NULL,NULL
2020-03-31,54,44,NULL,NULL,NULL
2020-04-01,69,46,NULL,NULL,NULL
2020-04-02,86,53,NULL,NULL,NULL
2020-04-03,120,64,NULL,NULL,NULL
2020-04-04,85,71,NULL,NULL,NULL
2020-04-05,103,81,NULL,NULL,NULL
2020-04-06,149,95,NULL,NULL,NULL
2020-04-07,128,106,NULL,NULL,NULL
2020-04-08,110,112,NULL,NULL,NULL
2020-04-09,139,119,NULL,NULL,NULL
2020-04-10,95,116,NULL,NULL,NULL
2020-04-11,145,124,NULL,NULL,NULL
2020-04-12,126,127,NULL,NULL,NULL
2020-04-13,125,124,NULL,NULL,NULL
2020-04-14,160,129,NULL,NULL,NULL
2020-04-15,155,135,NULL,NULL,NULL
2020-04-16,168,139,NULL,NULL,NULL
2020-04-17,171,150,NULL,NULL,NULL
2020-04-18,188,156,NULL,NULL,NULL
2020-04-19,112,154,NULL,NULL,NULL
2020-04-20,189,163,NULL,NULL,NULL
2020-04-21,157,163,NULL,NULL,NULL
2020-04-22,169,165,NULL,NULL,NULL
2020-04-23,232,174,NULL,NULL,NULL
2020-04-24,201,178,NULL,NULL,NULL
2020-04-25,227,184,NULL,NULL,NULL
2020-04-26,215,199,NULL,NULL,NULL
2020-04-27,248,207,NULL,NULL,NULL
2020-04-28,260,222,NULL,NULL,NULL
2020-04-29,226,230,NULL,NULL,NULL
2020-04-30,269,235,NULL,NULL,NULL
2020-05-01,358,258,NULL,NULL,NULL
