Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,2,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,2,1,NULL,NULL,NULL
2020-03-07,0,1,NULL,NULL,NULL
2020-03-08,2,1,NULL,NULL,NULL
2020-03-09,13,2,NULL,NULL,NULL
2020-03-10,8,4,NULL,NULL,NULL
2020-03-11,7,5,NULL,NULL,NULL
2020-03-12,0,5,NULL,NULL,NULL
2020-03-13,35,9,NULL,NULL,NULL
2020-03-14,27,13,NULL,NULL,NULL
2020-03-15,21,16,NULL,NULL,NULL
2020-03-16,17,16,NULL,NULL,NULL
2020-03-17,38,21,NULL,NULL,NULL
2020-03-18,55,28,NULL,NULL,NULL
2020-03-19,84,40,NULL,NULL,NULL
2020-03-20,58,43,NULL,NULL,NULL
2020-03-21,81,51,NULL,NULL,NULL
2020-03-22,64,57,NULL,NULL,NULL
2020-03-23,65,64,NULL,NULL,NULL
2020-03-24,107,73,NULL,NULL,NULL
2020-03-25,104,80,NULL,NULL,NULL
2020-03-26,103,83,NULL,NULL,NULL
2020-03-27,153,97,NULL,NULL,NULL
2020-03-28,109,101,NULL,NULL,NULL
2020-03-29,130,110,NULL,NULL,NULL
2020-03-30,129,119,NULL,NULL,NULL
2020-03-31,114,120,NULL,NULL,NULL
2020-04-01,149,127,NULL,NULL,NULL
2020-04-02,113,128,NULL,NULL,NULL
2020-04-03,196,134,NULL,NULL,NULL
2020-04-04,106,134,NULL,NULL,NULL
2020-04-05,181,141,NULL,NULL,NULL
2020-04-06,218,154,NULL,NULL,NULL
2020-04-07,247,173,NULL,NULL,NULL
2020-04-08,218,183,NULL,NULL,NULL
2020-04-09,337,215,NULL,NULL,NULL
2020-04-10,219,218,NULL,NULL,NULL
2020-04-11,330,250,NULL,NULL,NULL
2020-04-12,399,281,NULL,NULL,NULL
2020-04-13,316,295,NULL,NULL,NULL
2020-04-14,282,300,NULL,NULL,NULL
2020-04-15,297,311,NULL,NULL,NULL
2020-04-16,380,318,NULL,NULL,NULL
2020-04-17,407,344,NULL,NULL,NULL
2020-04-18,325,344,NULL,NULL,NULL
2020-04-19,327,333,NULL,NULL,NULL
2020-04-20,185,315,NULL,NULL,NULL
2020-04-21,375,328,NULL,NULL,NULL
2020-04-22,283,326,NULL,NULL,NULL
2020-04-23,357,323,NULL,NULL,NULL
2020-04-24,436,327,NULL,NULL,NULL
2020-04-25,396,337,NULL,NULL,NULL
2020-04-26,275,330,NULL,NULL,NULL
2020-04-27,214,334,NULL,NULL,NULL
2020-04-28,415,339,NULL,NULL,NULL
2020-04-29,260,336,NULL,NULL,NULL
2020-04-30,347,335,NULL,NULL,NULL
2020-05-01,433,334,NULL,NULL,NULL
