Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,0,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,0,0,NULL,NULL,NULL
2020-03-09,0,0,NULL,NULL,NULL
2020-03-10,0,0,NULL,NULL,NULL
2020-03-11,1,0,NULL,NULL,NULL
2020-03-12,0,0,NULL,NULL,NULL
2020-03-13,1,0,NULL,NULL,NULL
2020-03-14,0,0,NULL,NULL,NULL
2020-03-15,0,0,NULL,NULL,NULL
2020-03-16,0,0,NULL,NULL,NULL
2020-03-17,1,0,NULL,NULL,NULL
2020-03-18,1,0,NULL,NULL,NULL
2020-03-19,10,2,NULL,NULL,NULL
2020-03-20,4,2,NULL,NULL,NULL
2020-03-21,5,3,NULL,NULL,NULL
2020-03-22,7,4,NULL,NULL,NULL
2020-03-23,6,5,NULL,NULL,NULL
2020-03-24,9,6,NULL,NULL,NULL
2020-03-25,3,6,NULL,NULL,NULL
2020-03-26,3,5,NULL,NULL,NULL
2020-03-27,0,5,NULL,NULL,NULL
2020-03-28,14,6,NULL,NULL,NULL
2020-03-29,0,5,NULL,NULL,NULL
2020-03-30,16,6,NULL,NULL,NULL
2020-03-31,17,8,NULL,NULL,NULL
2020-04-01,11,9,NULL,NULL,NULL
2020-04-02,25,12,NULL,NULL,NULL
2020-04-03,0,12,NULL,NULL,NULL
2020-04-04,20,13,NULL,NULL,NULL
2020-04-05,0,13,NULL,NULL,NULL
2020-04-06,7,11,NULL,NULL,NULL
2020-04-07,19,12,NULL,NULL,NULL
2020-04-08,0,10,NULL,NULL,NULL
2020-04-09,0,7,NULL,NULL,NULL
2020-04-10,35,12,NULL,NULL,NULL
2020-04-11,8,10,NULL,NULL,NULL
2020-04-12,11,11,NULL,NULL,NULL
2020-04-13,1,11,NULL,NULL,NULL
2020-04-14,6,9,NULL,NULL,NULL
2020-04-15,13,11,NULL,NULL,NULL
2020-04-16,13,12,NULL,NULL,NULL
2020-04-17,20,10,NULL,NULL,NULL
2020-04-18,20,12,NULL,NULL,NULL
2020-04-19,20,13,NULL,NULL,NULL
2020-04-20,5,14,NULL,NULL,NULL
2020-04-21,18,16,NULL,NULL,NULL
2020-04-22,9,15,NULL,NULL,NULL
2020-04-23,18,16,NULL,NULL,NULL
2020-04-24,17,15,NULL,NULL,NULL
2020-04-25,22,16,NULL,NULL,NULL
2020-04-26,26,16,NULL,NULL,NULL
2020-04-27,17,18,NULL,NULL,NULL
2020-04-28,12,17,NULL,NULL,NULL
2020-04-29,20,19,NULL,NULL,NULL
2020-04-30,81,28,NULL,NULL,NULL
2020-05-01,32,30,NULL,NULL,NULL
