Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,0,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,0,0,NULL,NULL,NULL
2020-03-09,0,0,NULL,NULL,NULL
2020-03-10,0,0,NULL,NULL,NULL
2020-03-11,2,0,NULL,NULL,NULL
2020-03-12,0,0,NULL,NULL,NULL
2020-03-13,0,0,NULL,NULL,NULL
2020-03-14,0,0,NULL,NULL,NULL
2020-03-15,1,0,NULL,NULL,NULL
2020-03-16,3,1,NULL,NULL,NULL
2020-03-17,2,1,NULL,NULL,NULL
2020-03-18,1,1,NULL,NULL,NULL
2020-03-19,3,1,NULL,NULL,NULL
2020-03-20,12,3,NULL,NULL,NULL
2020-03-21,0,3,NULL,NULL,NULL
2020-03-22,2,3,NULL,NULL,NULL
2020-03-23,4,3,NULL,NULL,NULL
2020-03-24,0,3,NULL,NULL,NULL
2020-03-25,6,4,NULL,NULL,NULL
2020-03-26,16,6,NULL,NULL,NULL
2020-03-27,16,6,NULL,NULL,NULL
2020-03-28,27,10,NULL,NULL,NULL
2020-03-29,15,12,NULL,NULL,NULL
2020-03-30,29,16,NULL,NULL,NULL
2020-03-31,2,16,NULL,NULL,NULL
2020-04-01,31,19,NULL,NULL,NULL
2020-04-02,47,24,NULL,NULL,NULL
2020-04-03,3,22,NULL,NULL,NULL
2020-04-04,42,24,NULL,NULL,NULL
2020-04-05,4,23,NULL,NULL,NULL
2020-04-06,30,23,NULL,NULL,NULL
2020-04-07,7,23,NULL,NULL,NULL
2020-04-08,7,20,NULL,NULL,NULL
2020-04-09,31,18,NULL,NULL,NULL
2020-04-10,39,23,NULL,NULL,NULL
2020-04-11,10,18,NULL,NULL,NULL
2020-04-12,1,18,NULL,NULL,NULL
2020-04-13,4,14,NULL,NULL,NULL
2020-04-14,10,15,NULL,NULL,NULL
2020-04-15,12,15,NULL,NULL,NULL
2020-04-16,7,12,NULL,NULL,NULL
2020-04-17,16,9,NULL,NULL,NULL
2020-04-18,15,9,NULL,NULL,NULL
2020-04-19,15,11,NULL,NULL,NULL
2020-04-20,5,11,NULL,NULL,NULL
2020-04-21,17,12,NULL,NULL,NULL
2020-04-22,16,13,NULL,NULL,NULL
2020-04-23,9,13,NULL,NULL,NULL
2020-04-24,72,21,NULL,NULL,NULL
2020-04-25,36,24,NULL,NULL,NULL
2020-04-26,0,22,NULL,NULL,NULL
2020-04-27,34,26,NULL,NULL,NULL
2020-04-28,41,30,NULL,NULL,NULL
2020-04-29,36,33,NULL,NULL,NULL
2020-04-30,33,36,NULL,NULL,NULL
2020-05-01,33,30,NULL,NULL,NULL
