Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,1,0,NULL,NULL,NULL
2020-02-25,10,1,NULL,NULL,NULL
2020-02-26,15,3,NULL,NULL,NULL
2020-02-27,17,6,NULL,NULL,NULL
2020-02-28,2,6,NULL,NULL,NULL
2020-02-29,0,6,NULL,NULL,NULL
2020-03-01,0,6,NULL,NULL,NULL
2020-03-02,10,7,NULL,NULL,NULL
2020-03-03,0,6,NULL,NULL,NULL
2020-03-04,0,4,NULL,NULL,NULL
2020-03-05,1,2,NULL,NULL,NULL
2020-03-06,0,1,NULL,NULL,NULL
2020-03-07,3,2,NULL,NULL,NULL
2020-03-08,2,2,NULL,NULL,NULL
2020-03-09,0,1,NULL,NULL,NULL
2020-03-10,4,1,NULL,NULL,NULL
2020-03-11,2,2,NULL,NULL,NULL
2020-03-12,8,3,NULL,NULL,NULL
2020-03-13,0,3,NULL,NULL,NULL
2020-03-14,24,6,NULL,NULL,NULL
2020-03-15,8,6,NULL,NULL,NULL
2020-03-16,10,8,NULL,NULL,NULL
2020-03-17,6,8,NULL,NULL,NULL
2020-03-18,12,10,NULL,NULL,NULL
2020-03-19,5,9,NULL,NULL,NULL
2020-03-20,11,11,NULL,NULL,NULL
2020-03-21,16,10,NULL,NULL,NULL
2020-03-22,11,10,NULL,NULL,NULL
2020-03-23,1,9,NULL,NULL,NULL
2020-03-24,2,8,NULL,NULL,NULL
2020-03-25,3,7,NULL,NULL,NULL
2020-03-26,13,8,NULL,NULL,NULL
2020-03-27,16,9,NULL,NULL,NULL
2020-03-28,10,8,NULL,NULL,NULL
2020-03-29,19,9,NULL,NULL,NULL
2020-03-30,10,10,NULL,NULL,NULL
2020-03-31,23,13,NULL,NULL,NULL
2020-04-01,27,17,NULL,NULL,NULL
2020-04-02,24,19,NULL,NULL,NULL
2020-04-03,74,27,NULL,NULL,NULL
2020-04-04,61,34,NULL,NULL,NULL
2020-04-05,77,42,NULL,NULL,NULL
2020-04-06,108,56,NULL,NULL,NULL
2020-04-07,77,64,NULL,NULL,NULL
2020-04-08,112,76,NULL,NULL,NULL
2020-04-09,54,81,NULL,NULL,NULL
2020-04-10,83,82,NULL,NULL,NULL
2020-04-11,160,96,NULL,NULL,NULL
2020-04-12,80,96,NULL,NULL,NULL
2020-04-13,66,90,NULL,NULL,NULL
2020-04-14,54,87,NULL,NULL,NULL
2020-04-15,50,78,NULL,NULL,NULL
2020-04-16,119,87,NULL,NULL,NULL
2020-04-17,134,95,NULL,NULL,NULL
2020-04-18,92,85,NULL,NULL,NULL
2020-04-19,163,97,NULL,NULL,NULL
2020-04-20,79,99,NULL,NULL,NULL
2020-04-21,85,103,NULL,NULL,NULL
2020-04-22,168,120,NULL,NULL,NULL
2020-04-23,151,125,NULL,NULL,NULL
2020-04-24,215,136,NULL,NULL,NULL
2020-04-25,277,163,NULL,NULL,NULL
2020-04-26,183,165,NULL,NULL,NULL
2020-04-27,212,184,NULL,NULL,NULL
2020-04-28,152,194,NULL,NULL,NULL
2020-04-29,299,213,NULL,NULL,NULL
2020-04-30,284,232,NULL,NULL,NULL
2020-05-01,353,251,NULL,NULL,NULL
