Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,0,0,NULL,NULL,NULL
2020-03-07,3,0,NULL,NULL,NULL
2020-03-08,0,0,NULL,NULL,NULL
2020-03-09,0,0,NULL,NULL,NULL
2020-03-10,2,1,NULL,NULL,NULL
2020-03-11,1,1,NULL,NULL,NULL
2020-03-12,0,1,NULL,NULL,NULL
2020-03-13,6,2,NULL,NULL,NULL
2020-03-14,6,2,NULL,NULL,NULL
2020-03-15,3,3,NULL,NULL,NULL
2020-03-16,9,4,NULL,NULL,NULL
2020-03-17,8,5,NULL,NULL,NULL
2020-03-18,0,5,NULL,NULL,NULL
2020-03-19,15,7,NULL,NULL,NULL
2020-03-20,11,7,NULL,NULL,NULL
2020-03-21,9,8,NULL,NULL,NULL
2020-03-22,17,10,NULL,NULL,NULL
2020-03-23,17,11,NULL,NULL,NULL
2020-03-24,3,10,NULL,NULL,NULL
2020-03-25,19,13,NULL,NULL,NULL
2020-03-26,5,12,NULL,NULL,NULL
2020-03-27,5,11,NULL,NULL,NULL
2020-03-28,10,11,NULL,NULL,NULL
2020-03-29,2,9,NULL,NULL,NULL
2020-03-30,5,7,NULL,NULL,NULL
2020-03-31,13,8,NULL,NULL,NULL
2020-04-01,19,8,NULL,NULL,NULL
2020-04-02,8,9,NULL,NULL,NULL
2020-04-03,6,9,NULL,NULL,NULL
2020-04-04,11,9,NULL,NULL,NULL
2020-04-05,14,11,NULL,NULL,NULL
2020-04-06,14,12,NULL,NULL,NULL
2020-04-07,52,18,NULL,NULL,NULL
2020-04-08,6,16,NULL,NULL,NULL
2020-04-09,38,20,NULL,NULL,NULL
2020-04-10,13,21,NULL,NULL,NULL
2020-04-11,20,22,NULL,NULL,NULL
2020-04-12,8,22,NULL,NULL,NULL
2020-04-13,6,20,NULL,NULL,NULL
2020-04-14,9,14,NULL,NULL,NULL
2020-04-15,6,14,NULL,NULL,NULL
2020-04-16,13,11,NULL,NULL,NULL
2020-04-17,10,10,NULL,NULL,NULL
2020-04-18,4,8,NULL,NULL,NULL
2020-04-19,1,7,NULL,NULL,NULL
2020-04-20,4,7,NULL,NULL,NULL
2020-04-21,12,7,NULL,NULL,NULL
2020-04-22,1,6,NULL,NULL,NULL
2020-04-23,1,5,NULL,NULL,NULL
2020-04-24,2,4,NULL,NULL,NULL
2020-04-25,1,3,NULL,NULL,NULL
2020-04-26,0,3,NULL,NULL,NULL
2020-04-27,2,3,NULL,NULL,NULL
2020-04-28,8,2,NULL,NULL,NULL
2020-04-29,5,3,NULL,NULL,NULL
2020-04-30,2,3,NULL,NULL,NULL
2020-05-01,2,3,NULL,NULL,NULL
