Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,1,0,NULL,NULL,NULL
2020-02-25,22,3,NULL,NULL,NULL
2020-02-26,10,4,NULL,NULL,NULL
2020-02-27,0,4,NULL,NULL,NULL
2020-02-28,3,5,NULL,NULL,NULL
2020-02-29,4,5,NULL,NULL,NULL
2020-03-01,6,6,NULL,NULL,NULL
2020-03-02,2,6,NULL,NULL,NULL
2020-03-03,0,3,NULL,NULL,NULL
2020-03-04,3,2,NULL,NULL,NULL
2020-03-05,2,3,NULL,NULL,NULL
2020-03-06,5,3,NULL,NULL,NULL
2020-03-07,24,6,NULL,NULL,NULL
2020-03-08,0,5,NULL,NULL,NULL
2020-03-09,10,6,NULL,NULL,NULL
2020-03-10,14,8,NULL,NULL,NULL
2020-03-11,84,20,NULL,NULL,NULL
2020-03-12,0,19,NULL,NULL,NULL
2020-03-13,0,19,NULL,NULL,NULL
2020-03-14,14,17,NULL,NULL,NULL
2020-03-15,3,18,NULL,NULL,NULL
2020-03-16,0,16,NULL,NULL,NULL
2020-03-17,14,16,NULL,NULL,NULL
2020-03-18,27,8,NULL,NULL,NULL
2020-03-19,22,11,NULL,NULL,NULL
2020-03-20,6,12,NULL,NULL,NULL
2020-03-21,19,13,NULL,NULL,NULL
2020-03-22,29,17,NULL,NULL,NULL
2020-03-23,43,23,NULL,NULL,NULL
2020-03-24,14,23,NULL,NULL,NULL
2020-03-25,27,23,NULL,NULL,NULL
2020-03-26,38,25,NULL,NULL,NULL
2020-03-27,7,25,NULL,NULL,NULL
2020-03-28,9,24,NULL,NULL,NULL
2020-03-29,22,23,NULL,NULL,NULL
2020-03-30,16,19,NULL,NULL,NULL
2020-03-31,51,25,NULL,NULL,NULL
2020-04-01,2,21,NULL,NULL,NULL
2020-04-02,74,26,NULL,NULL,NULL
2020-04-03,29,29,NULL,NULL,NULL
2020-04-04,15,30,NULL,NULL,NULL
2020-04-05,12,28,NULL,NULL,NULL
2020-04-06,55,34,NULL,NULL,NULL
2020-04-07,55,34,NULL,NULL,NULL
2020-04-08,12,36,NULL,NULL,NULL
2020-04-09,64,34,NULL,NULL,NULL
2020-04-10,37,36,NULL,NULL,NULL
2020-04-11,115,50,NULL,NULL,NULL
2020-04-12,95,62,NULL,NULL,NULL
2020-04-13,225,86,NULL,NULL,NULL
2020-04-14,166,102,NULL,NULL,NULL
2020-04-15,142,121,NULL,NULL,NULL
2020-04-16,29,116,NULL,NULL,NULL
2020-04-17,40,116,NULL,NULL,NULL
2020-04-18,32,104,NULL,NULL,NULL
2020-04-19,107,106,NULL,NULL,NULL
2020-04-20,25,77,NULL,NULL,NULL
2020-04-21,65,63,NULL,NULL,NULL
2020-04-22,54,50,NULL,NULL,NULL
2020-04-23,189,73,NULL,NULL,NULL
2020-04-24,301,111,NULL,NULL,NULL
2020-04-25,70,116,NULL,NULL,NULL
2020-04-26,58,109,NULL,NULL,NULL
2020-04-27,75,116,NULL,NULL,NULL
2020-04-28,87,119,NULL,NULL,NULL
2020-04-29,110,127,NULL,NULL,NULL
2020-04-30,119,117,NULL,NULL,NULL
2020-05-01,129,93,NULL,NULL,NULL
