Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,1,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,1,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,2,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,9,2,NULL,NULL,NULL
2020-03-07,0,2,NULL,NULL,NULL
2020-03-08,7,3,NULL,NULL,NULL
2020-03-09,5,3,NULL,NULL,NULL
2020-03-10,6,4,NULL,NULL,NULL
2020-03-11,7,5,NULL,NULL,NULL
2020-03-12,14,7,NULL,NULL,NULL
2020-03-13,99,20,NULL,NULL,NULL
2020-03-14,0,20,NULL,NULL,NULL
2020-03-15,11,20,NULL,NULL,NULL
2020-03-16,38,25,NULL,NULL,NULL
2020-03-17,121,41,NULL,NULL,NULL
2020-03-18,51,48,NULL,NULL,NULL
2020-03-19,249,81,NULL,NULL,NULL
2020-03-20,172,92,NULL,NULL,NULL
2020-03-21,228,124,NULL,NULL,NULL
2020-03-22,525,198,NULL,NULL,NULL
2020-03-23,378,246,NULL,NULL,NULL
2020-03-24,323,275,NULL,NULL,NULL
2020-03-25,307,312,NULL,NULL,NULL
2020-03-26,431,338,NULL,NULL,NULL
2020-03-27,432,375,NULL,NULL,NULL
2020-03-28,487,412,NULL,NULL,NULL
2020-03-29,352,387,NULL,NULL,NULL
2020-03-30,323,379,NULL,NULL,NULL
2020-03-31,1138,496,NULL,NULL,NULL
2020-04-01,1119,612,NULL,NULL,NULL
2020-04-02,1208,723,NULL,NULL,NULL
2020-04-03,1012,806,NULL,NULL,NULL
2020-04-04,1304,922,NULL,NULL,NULL
2020-04-05,770,982,NULL,NULL,NULL
2020-04-06,1031,1083,NULL,NULL,NULL
2020-04-07,1873,1188,NULL,NULL,NULL
2020-04-08,2136,1333,NULL,NULL,NULL
2020-04-09,1922,1435,NULL,NULL,NULL
2020-04-10,1546,1512,NULL,NULL,NULL
2020-04-11,1089,1481,NULL,NULL,NULL
2020-04-12,1465,1580,NULL,NULL,NULL
2020-04-13,1238,1610,NULL,NULL,NULL
2020-04-14,1832,1604,NULL,NULL,NULL
2020-04-15,3058,1736,NULL,NULL,NULL
2020-04-16,2105,1762,NULL,NULL,NULL
2020-04-17,3257,2006,NULL,NULL,NULL
2020-04-18,2976,2276,NULL,NULL,NULL
2020-04-19,1996,2352,NULL,NULL,NULL
2020-04-20,2089,2473,NULL,NULL,NULL
2020-04-21,2336,2545,NULL,NULL,NULL
2020-04-22,2678,2491,NULL,NULL,NULL
2020-04-23,4279,2802,NULL,NULL,NULL
2020-04-24,4007,2909,NULL,NULL,NULL
2020-04-25,5281,3238,NULL,NULL,NULL
2020-04-26,3776,3492,NULL,NULL,NULL
2020-04-27,4346,3815,NULL,NULL,NULL
2020-04-28,5789,4308,NULL,NULL,NULL
2020-04-29,6450,4847,NULL,NULL,NULL
