Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,1,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,4,1,NULL,NULL,NULL
2020-03-06,0,1,NULL,NULL,NULL
2020-03-07,0,1,NULL,NULL,NULL
2020-03-08,6,2,NULL,NULL,NULL
2020-03-09,4,2,NULL,NULL,NULL
2020-03-10,5,3,NULL,NULL,NULL
2020-03-11,1,3,NULL,NULL,NULL
2020-03-12,24,6,NULL,NULL,NULL
2020-03-13,41,12,NULL,NULL,NULL
2020-03-14,17,14,NULL,NULL,NULL
2020-03-15,0,13,NULL,NULL,NULL
2020-03-16,15,15,NULL,NULL,NULL
2020-03-17,53,22,NULL,NULL,NULL
2020-03-18,0,21,NULL,NULL,NULL
2020-03-19,103,33,NULL,NULL,NULL
2020-03-20,70,37,NULL,NULL,NULL
2020-03-21,48,41,NULL,NULL,NULL
2020-03-22,119,58,NULL,NULL,NULL
2020-03-23,51,63,NULL,NULL,NULL
2020-03-24,205,85,NULL,NULL,NULL
2020-03-25,133,104,NULL,NULL,NULL
2020-03-26,112,105,NULL,NULL,NULL
2020-03-27,92,109,NULL,NULL,NULL
2020-03-28,99,116,NULL,NULL,NULL
2020-03-29,96,113,NULL,NULL,NULL
2020-03-30,154,127,NULL,NULL,NULL
2020-03-31,110,114,NULL,NULL,NULL
2020-04-01,157,117,NULL,NULL,NULL
2020-04-02,165,125,NULL,NULL,NULL
2020-04-03,154,134,NULL,NULL,NULL
2020-04-04,140,139,NULL,NULL,NULL
2020-04-05,223,158,NULL,NULL,NULL
2020-04-06,203,165,NULL,NULL,NULL
2020-04-07,190,176,NULL,NULL,NULL
2020-04-08,137,173,NULL,NULL,NULL
2020-04-09,355,200,NULL,NULL,NULL
2020-04-10,364,230,NULL,NULL,NULL
2020-04-11,382,265,NULL,NULL,NULL
2020-04-12,429,294,NULL,NULL,NULL
2020-04-13,472,333,NULL,NULL,NULL
2020-04-14,435,368,NULL,NULL,NULL
2020-04-15,493,419,NULL,NULL,NULL
2020-04-16,518,442,NULL,NULL,NULL
2020-04-17,762,499,NULL,NULL,NULL
2020-04-18,1132,606,NULL,NULL,NULL
2020-04-19,1088,700,NULL,NULL,NULL
2020-04-20,1122,793,NULL,NULL,NULL
2020-04-21,1147,895,NULL,NULL,NULL
2020-04-22,1141,987,NULL,NULL,NULL
2020-04-23,1158,1079,NULL,NULL,NULL
2020-04-24,1172,1137,NULL,NULL,NULL
2020-04-25,1197,1146,NULL,NULL,NULL
2020-04-26,1223,1166,NULL,NULL,NULL
2020-04-27,1289,1190,NULL,NULL,NULL
2020-04-28,1266,1207,NULL,NULL,NULL
2020-04-29,1325,1233,NULL,NULL,NULL
2020-04-30,1351,1260,NULL,NULL,NULL
