Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,1,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,0,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,0,0,NULL,NULL,NULL
2020-03-09,0,0,NULL,NULL,NULL
2020-03-10,0,0,NULL,NULL,NULL
2020-03-11,0,0,NULL,NULL,NULL
2020-03-12,0,0,NULL,NULL,NULL
2020-03-13,0,0,NULL,NULL,NULL
2020-03-14,0,0,NULL,NULL,NULL
2020-03-15,7,1,NULL,NULL,NULL
2020-03-16,9,2,NULL,NULL,NULL
2020-03-17,17,5,NULL,NULL,NULL
2020-03-18,18,7,NULL,NULL,NULL
2020-03-19,17,10,NULL,NULL,NULL
2020-03-20,16,12,NULL,NULL,NULL
2020-03-21,0,12,NULL,NULL,NULL
2020-03-22,27,15,NULL,NULL,NULL
2020-03-23,15,16,NULL,NULL,NULL
2020-03-24,27,17,NULL,NULL,NULL
2020-03-25,18,17,NULL,NULL,NULL
2020-03-26,40,20,NULL,NULL,NULL
2020-03-27,23,21,NULL,NULL,NULL
2020-03-28,11,23,NULL,NULL,NULL
2020-03-29,13,21,NULL,NULL,NULL
2020-03-30,9,20,NULL,NULL,NULL
2020-03-31,6,17,NULL,NULL,NULL
2020-04-01,4,15,NULL,NULL,NULL
2020-04-02,21,12,NULL,NULL,NULL
2020-04-03,11,11,NULL,NULL,NULL
2020-04-04,13,11,NULL,NULL,NULL
2020-04-05,22,12,NULL,NULL,NULL
2020-04-06,4,12,NULL,NULL,NULL
2020-04-07,4,11,NULL,NULL,NULL
2020-04-08,5,11,NULL,NULL,NULL
2020-04-09,14,10,NULL,NULL,NULL
2020-04-10,0,9,NULL,NULL,NULL
2020-04-11,9,8,NULL,NULL,NULL
2020-04-12,8,6,NULL,NULL,NULL
2020-04-13,2,6,NULL,NULL,NULL
2020-04-14,6,6,NULL,NULL,NULL
2020-04-15,4,6,NULL,NULL,NULL
2020-04-16,1,4,NULL,NULL,NULL
2020-04-17,5,5,NULL,NULL,NULL
2020-04-18,6,5,NULL,NULL,NULL
2020-04-19,4,4,NULL,NULL,NULL
2020-04-20,8,5,NULL,NULL,NULL
2020-04-21,3,4,NULL,NULL,NULL
2020-04-22,7,5,NULL,NULL,NULL
2020-04-23,2,5,NULL,NULL,NULL
2020-04-24,4,5,NULL,NULL,NULL
2020-04-25,3,4,NULL,NULL,NULL
2020-04-26,3,4,NULL,NULL,NULL
2020-04-27,2,3,NULL,NULL,NULL
2020-04-28,0,3,NULL,NULL,NULL
2020-04-29,2,2,NULL,NULL,NULL
2020-04-30,2,2,NULL,NULL,NULL
2020-05-01,6,3,NULL,NULL,NULL
