Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,2,NULL,NULL,NULL,NULL
2020-01-25,1,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,1,1,NULL,NULL,NULL
2020-01-29,1,1,NULL,NULL,NULL
2020-01-30,0,1,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,1,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,5,1,NULL,NULL,NULL
2020-02-09,0,1,NULL,NULL,NULL
2020-02-10,0,1,NULL,NULL,NULL
2020-02-11,0,1,NULL,NULL,NULL
2020-02-12,0,1,NULL,NULL,NULL
2020-02-13,0,1,NULL,NULL,NULL
2020-02-14,0,1,NULL,NULL,NULL
2020-02-15,1,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,2,0,NULL,NULL,NULL
2020-02-26,4,1,NULL,NULL,NULL
2020-02-27,20,4,NULL,NULL,NULL
2020-02-28,19,6,NULL,NULL,NULL
2020-02-29,43,13,NULL,NULL,NULL
2020-03-01,30,17,NULL,NULL,NULL
2020-03-02,61,26,NULL,NULL,NULL
2020-03-03,21,28,NULL,NULL,NULL
2020-03-04,76,39,NULL,NULL,NULL
2020-03-05,138,55,NULL,NULL,NULL
2020-03-06,190,80,NULL,NULL,NULL
2020-03-07,332,121,NULL,NULL,NULL
2020-03-08,177,142,NULL,NULL,NULL
2020-03-09,286,174,NULL,NULL,NULL
2020-03-10,372,224,NULL,NULL,NULL
2020-03-11,510,286,NULL,NULL,NULL
2020-03-12,0,267,NULL,NULL,NULL
2020-03-13,1388,438,NULL,NULL,NULL
2020-03-14,815,507,NULL,NULL,NULL
2020-03-15,36,487,NULL,NULL,NULL
2020-03-16,2151,753,NULL,NULL,NULL
2020-03-17,1032,847,NULL,NULL,NULL
2020-03-18,1409,976,NULL,NULL,NULL
2020-03-19,1846,1240,NULL,NULL,NULL
2020-03-20,1788,1297,NULL,NULL,NULL
2020-03-21,1705,1424,NULL,NULL,NULL
2020-03-22,2298,1747,NULL,NULL,NULL
2020-03-23,3359,1920,NULL,NULL,NULL
2020-03-24,2252,2094,NULL,NULL,NULL
2020-03-25,2959,2315,NULL,NULL,NULL
2020-03-26,3921,2612,NULL,NULL,NULL
2020-03-27,3793,2898,NULL,NULL,NULL
2020-03-28,4648,3319,NULL,NULL,NULL
2020-03-29,2603,3362,NULL,NULL,NULL
2020-03-30,4349,3504,NULL,NULL,NULL
2020-03-31,7636,4273,NULL,NULL,NULL
2020-04-01,4844,4542,NULL,NULL,NULL
2020-04-02,2102,4282,NULL,NULL,NULL
2020-04-03,5225,4487,NULL,NULL,NULL
2020-04-04,-17076,1383,NULL,NULL,NULL
2020-04-05,849,1133,NULL,NULL,NULL
2020-04-06,2659,891,NULL,NULL,NULL
2020-04-07,-3489,-698,NULL,NULL,NULL
2020-04-08,3855,-839,NULL,NULL,NULL
2020-04-09,3784,-599,NULL,NULL,NULL
2020-04-10,1566,-1122,NULL,NULL,NULL
2020-04-11,1445,1524,NULL,NULL,NULL
2020-04-12,50747,8652,NULL,NULL,NULL
2020-04-13,3141,8721,NULL,NULL,NULL
2020-04-14,17448,11712,NULL,NULL,NULL
2020-04-15,3207,11620,NULL,NULL,NULL
2020-04-16,12578,12876,NULL,NULL,NULL
2020-04-17,1891,12922,NULL,NULL,NULL
2020-04-18,3804,13259,NULL,NULL,NULL
2020-04-19,1094,6166,NULL,NULL,NULL
2020-04-20,2447,6067,NULL,NULL,NULL
2020-04-21,2666,3955,NULL,NULL,NULL
