Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,1,0,NULL,NULL,NULL
2020-02-27,2,0,NULL,NULL,NULL
2020-02-28,1,1,NULL,NULL,NULL
2020-02-29,0,1,NULL,NULL,NULL
2020-03-01,3,1,NULL,NULL,NULL
2020-03-02,0,1,NULL,NULL,NULL
2020-03-03,0,1,NULL,NULL,NULL
2020-03-04,2,1,NULL,NULL,NULL
2020-03-05,22,4,NULL,NULL,NULL
2020-03-06,14,6,NULL,NULL,NULL
2020-03-07,1,6,NULL,NULL,NULL
2020-03-08,27,9,NULL,NULL,NULL
2020-03-09,0,9,NULL,NULL,NULL
2020-03-10,16,12,NULL,NULL,NULL
2020-03-11,10,13,NULL,NULL,NULL
2020-03-12,0,10,NULL,NULL,NULL
2020-03-13,91,21,NULL,NULL,NULL
2020-03-14,38,26,NULL,NULL,NULL
2020-03-15,103,37,NULL,NULL,NULL
2020-03-16,0,37,NULL,NULL,NULL
2020-03-17,56,43,NULL,NULL,NULL
2020-03-18,31,46,NULL,NULL,NULL
2020-03-19,0,46,NULL,NULL,NULL
2020-03-20,77,44,NULL,NULL,NULL
2020-03-21,35,43,NULL,NULL,NULL
2020-03-22,94,42,NULL,NULL,NULL
2020-03-23,71,52,NULL,NULL,NULL
2020-03-24,48,51,NULL,NULL,NULL
2020-03-25,92,60,NULL,NULL,NULL
2020-03-26,0,60,NULL,NULL,NULL
2020-03-27,0,49,NULL,NULL,NULL
2020-03-28,0,44,NULL,NULL,NULL
2020-03-29,321,76,NULL,NULL,NULL
2020-03-30,0,66,NULL,NULL,NULL
2020-03-31,0,59,NULL,NULL,NULL
2020-04-01,0,46,NULL,NULL,NULL
2020-04-02,0,46,NULL,NULL,NULL
2020-04-03,457,111,NULL,NULL,NULL
2020-04-04,60,120,NULL,NULL,NULL
2020-04-05,62,83,NULL,NULL,NULL
2020-04-06,20,86,NULL,NULL,NULL
2020-04-07,77,97,NULL,NULL,NULL
2020-04-08,52,104,NULL,NULL,NULL
2020-04-09,71,114,NULL,NULL,NULL
2020-04-10,54,57,NULL,NULL,NULL
2020-04-11,72,58,NULL,NULL,NULL
2020-04-12,0,49,NULL,NULL,NULL
2020-04-13,64,56,NULL,NULL,NULL
2020-04-14,25,48,NULL,NULL,NULL
2020-04-15,22,44,NULL,NULL,NULL
2020-04-16,15,36,NULL,NULL,NULL
2020-04-17,17,31,NULL,NULL,NULL
2020-04-18,11,22,NULL,NULL,NULL
2020-04-19,10,23,NULL,NULL,NULL
2020-04-20,0,14,NULL,NULL,NULL
2020-04-21,156,33,NULL,NULL,NULL
2020-04-22,7,31,NULL,NULL,NULL
2020-04-23,55,37,NULL,NULL,NULL
2020-04-24,27,38,NULL,NULL,NULL
2020-04-25,16,39,NULL,NULL,NULL
2020-04-26,11,39,NULL,NULL,NULL
2020-04-27,17,41,NULL,NULL,NULL
2020-04-28,32,24,NULL,NULL,NULL
2020-04-29,10,24,NULL,NULL,NULL
2020-04-30,15,18,NULL,NULL,NULL
2020-05-01,21,17,NULL,NULL,NULL
