Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,1,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,0,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,0,0,NULL,NULL,NULL
2020-03-09,0,0,NULL,NULL,NULL
2020-03-10,0,0,NULL,NULL,NULL
2020-03-11,0,0,NULL,NULL,NULL
2020-03-12,0,0,NULL,NULL,NULL
2020-03-13,2,0,NULL,NULL,NULL
2020-03-14,0,0,NULL,NULL,NULL
2020-03-15,0,0,NULL,NULL,NULL
2020-03-16,4,1,NULL,NULL,NULL
2020-03-17,7,2,NULL,NULL,NULL
2020-03-18,0,2,NULL,NULL,NULL
2020-03-19,2,2,NULL,NULL,NULL
2020-03-20,13,4,NULL,NULL,NULL
2020-03-21,18,6,NULL,NULL,NULL
2020-03-22,26,10,NULL,NULL,NULL
2020-03-23,0,9,NULL,NULL,NULL
2020-03-24,24,12,NULL,NULL,NULL
2020-03-25,48,19,NULL,NULL,NULL
2020-03-26,51,26,NULL,NULL,NULL
2020-03-27,114,40,NULL,NULL,NULL
2020-03-28,46,44,NULL,NULL,NULL
2020-03-29,119,57,NULL,NULL,NULL
2020-03-30,73,68,NULL,NULL,NULL
2020-03-31,97,78,NULL,NULL,NULL
2020-04-01,149,93,NULL,NULL,NULL
2020-04-02,103,100,NULL,NULL,NULL
2020-04-03,175,109,NULL,NULL,NULL
2020-04-04,153,124,NULL,NULL,NULL
2020-04-05,83,119,NULL,NULL,NULL
2020-04-06,11,110,NULL,NULL,NULL
2020-04-07,143,117,NULL,NULL,NULL
2020-04-08,206,125,NULL,NULL,NULL
2020-04-09,224,142,NULL,NULL,NULL
2020-04-10,311,162,NULL,NULL,NULL
2020-04-11,308,184,NULL,NULL,NULL
2020-04-12,266,210,NULL,NULL,NULL
2020-04-13,325,255,NULL,NULL,NULL
2020-04-14,270,273,NULL,NULL,NULL
2020-04-15,392,299,NULL,NULL,NULL
2020-04-16,397,324,NULL,NULL,NULL
2020-04-17,501,351,NULL,NULL,NULL
2020-04-18,444,371,NULL,NULL,NULL
2020-04-19,343,382,NULL,NULL,NULL
2020-04-20,261,373,NULL,NULL,NULL
2020-04-21,415,393,NULL,NULL,NULL
2020-04-22,467,404,NULL,NULL,NULL
2020-04-23,578,430,NULL,NULL,NULL
2020-04-24,477,426,NULL,NULL,NULL
2020-04-25,478,431,NULL,NULL,NULL
2020-04-26,492,453,NULL,NULL,NULL
2020-04-27,392,471,NULL,NULL,NULL
2020-04-28,401,469,NULL,NULL,NULL
2020-04-29,456,468,NULL,NULL,NULL
2020-04-30,540,462,NULL,NULL,NULL
2020-05-01,455,459,NULL,NULL,NULL
