Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,1,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,2,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,1,0,NULL,NULL,NULL
2020-03-07,1,1,NULL,NULL,NULL
2020-03-08,0,1,NULL,NULL,NULL
2020-03-09,0,1,NULL,NULL,NULL
2020-03-10,0,1,NULL,NULL,NULL
2020-03-11,0,0,NULL,NULL,NULL
2020-03-12,0,0,NULL,NULL,NULL
2020-03-13,0,0,NULL,NULL,NULL
2020-03-14,1,0,NULL,NULL,NULL
2020-03-15,2,0,NULL,NULL,NULL
2020-03-16,0,0,NULL,NULL,NULL
2020-03-17,4,1,NULL,NULL,NULL
2020-03-18,8,2,NULL,NULL,NULL
2020-03-19,8,3,NULL,NULL,NULL
2020-03-20,11,5,NULL,NULL,NULL
2020-03-21,13,7,NULL,NULL,NULL
2020-03-22,50,13,NULL,NULL,NULL
2020-03-23,0,13,NULL,NULL,NULL
2020-03-24,53,20,NULL,NULL,NULL
2020-03-25,50,26,NULL,NULL,NULL
2020-03-26,78,36,NULL,NULL,NULL
2020-03-27,85,47,NULL,NULL,NULL
2020-03-28,83,57,NULL,NULL,NULL
2020-03-29,63,59,NULL,NULL,NULL
2020-03-30,75,70,NULL,NULL,NULL
2020-03-31,58,70,NULL,NULL,NULL
2020-04-01,61,72,NULL,NULL,NULL
2020-04-02,89,73,NULL,NULL,NULL
2020-04-03,71,71,NULL,NULL,NULL
2020-04-04,82,71,NULL,NULL,NULL
2020-04-05,89,75,NULL,NULL,NULL
2020-04-06,67,74,NULL,NULL,NULL
2020-04-07,54,73,NULL,NULL,NULL
2020-04-08,50,72,NULL,NULL,NULL
2020-04-09,29,63,NULL,NULL,NULL
2020-04-10,44,59,NULL,NULL,NULL
2020-04-11,29,52,NULL,NULL,NULL
2020-04-12,18,42,NULL,NULL,NULL
2020-04-13,19,35,NULL,NULL,NULL
2020-04-14,17,29,NULL,NULL,NULL
2020-04-15,20,25,NULL,NULL,NULL
2020-04-16,15,23,NULL,NULL,NULL
2020-04-17,8,18,NULL,NULL,NULL
2020-04-18,13,16,NULL,NULL,NULL
2020-04-19,9,14,NULL,NULL,NULL
2020-04-20,9,13,NULL,NULL,NULL
2020-04-21,5,11,NULL,NULL,NULL
2020-04-22,6,9,NULL,NULL,NULL
2020-04-23,5,8,NULL,NULL,NULL
2020-04-24,5,7,NULL,NULL,NULL
2020-04-25,9,7,NULL,NULL,NULL
2020-04-26,-1,5,NULL,NULL,NULL
2020-04-27,3,5,NULL,NULL,NULL
2020-04-28,2,4,NULL,NULL,NULL
2020-04-29,2,4,NULL,NULL,NULL
2020-04-30,3,3,NULL,NULL,NULL
2020-05-01,6,3,NULL,NULL,NULL
