Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,2,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,3,NULL,NULL,NULL,NULL
2020-01-26,3,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,1,NULL,NULL,NULL
2020-01-29,2,1,NULL,NULL,NULL
2020-01-30,0,1,NULL,NULL,NULL
2020-01-31,2,1,NULL,NULL,NULL
2020-02-01,1,1,NULL,NULL,NULL
2020-02-02,2,1,NULL,NULL,NULL
2020-02-03,0,1,NULL,NULL,NULL
2020-02-04,2,1,NULL,NULL,NULL
2020-02-05,4,2,NULL,NULL,NULL
2020-02-06,3,2,NULL,NULL,NULL
2020-02-07,1,2,NULL,NULL,NULL
2020-02-08,1,2,NULL,NULL,NULL
2020-02-09,3,2,NULL,NULL,NULL
2020-02-10,9,3,NULL,NULL,NULL
2020-02-11,11,5,NULL,NULL,NULL
2020-02-12,1,4,NULL,NULL,NULL
2020-02-13,3,4,NULL,NULL,NULL
2020-02-14,3,4,NULL,NULL,NULL
2020-02-15,0,4,NULL,NULL,NULL
2020-02-16,1,4,NULL,NULL,NULL
2020-02-17,3,3,NULL,NULL,NULL
2020-02-18,2,2,NULL,NULL,NULL
2020-02-19,1,2,NULL,NULL,NULL
2020-02-20,5,2,NULL,NULL,NULL
2020-02-21,0,2,NULL,NULL,NULL
2020-02-22,1,2,NULL,NULL,NULL
2020-02-23,5,2,NULL,NULL,NULL
2020-02-24,5,3,NULL,NULL,NULL
2020-02-25,5,3,NULL,NULL,NULL
2020-02-26,7,4,NULL,NULL,NULL
2020-02-27,1,3,NULL,NULL,NULL
2020-02-28,2,4,NULL,NULL,NULL
2020-02-29,1,4,NULL,NULL,NULL
2020-03-01,1,3,NULL,NULL,NULL
2020-03-02,4,3,NULL,NULL,NULL
2020-03-03,0,2,NULL,NULL,NULL
2020-03-04,5,2,NULL,NULL,NULL
2020-03-05,0,2,NULL,NULL,NULL
