Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,1,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,0,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,1,0,NULL,NULL,NULL
2020-03-09,0,0,NULL,NULL,NULL
2020-03-10,3,0,NULL,NULL,NULL
2020-03-11,1,0,NULL,NULL,NULL
2020-03-12,0,0,NULL,NULL,NULL
2020-03-13,9,2,NULL,NULL,NULL
2020-03-14,1,2,NULL,NULL,NULL
2020-03-15,0,2,NULL,NULL,NULL
2020-03-16,1,2,NULL,NULL,NULL
2020-03-17,3,2,NULL,NULL,NULL
2020-03-18,5,3,NULL,NULL,NULL
2020-03-19,9,4,NULL,NULL,NULL
2020-03-20,15,5,NULL,NULL,NULL
2020-03-21,6,5,NULL,NULL,NULL
2020-03-22,15,8,NULL,NULL,NULL
2020-03-23,13,9,NULL,NULL,NULL
2020-03-24,25,12,NULL,NULL,NULL
2020-03-25,58,20,NULL,NULL,NULL
2020-03-26,24,22,NULL,NULL,NULL
2020-03-27,29,24,NULL,NULL,NULL
2020-03-28,50,31,NULL,NULL,NULL
2020-03-29,33,33,NULL,NULL,NULL
2020-03-30,0,31,NULL,NULL,NULL
2020-03-31,82,40,NULL,NULL,NULL
2020-04-01,28,35,NULL,NULL,NULL
2020-04-02,31,36,NULL,NULL,NULL
2020-04-03,40,38,NULL,NULL,NULL
2020-04-04,57,39,NULL,NULL,NULL
2020-04-05,21,37,NULL,NULL,NULL
2020-04-06,22,40,NULL,NULL,NULL
2020-04-07,26,32,NULL,NULL,NULL
2020-04-08,4,29,NULL,NULL,NULL
2020-04-09,15,26,NULL,NULL,NULL
2020-04-10,28,25,NULL,NULL,NULL
2020-04-11,13,18,NULL,NULL,NULL
2020-04-12,21,18,NULL,NULL,NULL
2020-04-13,19,18,NULL,NULL,NULL
2020-04-14,21,17,NULL,NULL,NULL
2020-04-15,32,21,NULL,NULL,NULL
2020-04-16,41,25,NULL,NULL,NULL
2020-04-17,42,27,NULL,NULL,NULL
2020-04-18,0,25,NULL,NULL,NULL
2020-04-19,15,24,NULL,NULL,NULL
2020-04-20,5,22,NULL,NULL,NULL
2020-04-21,0,19,NULL,NULL,NULL
2020-04-22,25,18,NULL,NULL,NULL
2020-04-23,8,13,NULL,NULL,NULL
2020-04-24,3,8,NULL,NULL,NULL
2020-04-25,17,10,NULL,NULL,NULL
2020-04-26,10,9,NULL,NULL,NULL
2020-04-27,18,11,NULL,NULL,NULL
2020-04-28,7,12,NULL,NULL,NULL
2020-04-29,5,10,NULL,NULL,NULL
2020-04-30,13,10,NULL,NULL,NULL
2020-05-01,3,10,NULL,NULL,NULL
