Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,0,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,0,0,NULL,NULL,NULL
2020-03-09,0,0,NULL,NULL,NULL
2020-03-10,0,0,NULL,NULL,NULL
2020-03-11,1,0,NULL,NULL,NULL
2020-03-12,0,0,NULL,NULL,NULL
2020-03-13,4,1,NULL,NULL,NULL
2020-03-14,0,1,NULL,NULL,NULL
2020-03-15,1,1,NULL,NULL,NULL
2020-03-16,12,3,NULL,NULL,NULL
2020-03-17,29,7,NULL,NULL,NULL
2020-03-18,51,14,NULL,NULL,NULL
2020-03-19,94,27,NULL,NULL,NULL
2020-03-20,167,51,NULL,NULL,NULL
2020-03-21,311,95,NULL,NULL,NULL
2020-03-22,566,176,NULL,NULL,NULL
2020-03-23,293,216,NULL,NULL,NULL
2020-03-24,343,261,NULL,NULL,NULL
2020-03-25,561,334,NULL,NULL,NULL
2020-03-26,1196,491,NULL,NULL,NULL
2020-03-27,2069,763,NULL,NULL,NULL
2020-03-28,1704,962,NULL,NULL,NULL
2020-03-29,1815,1140,NULL,NULL,NULL
2020-03-30,1610,1328,NULL,NULL,NULL
2020-03-31,2704,1666,NULL,NULL,NULL
2020-04-01,2148,1892,NULL,NULL,NULL
2020-04-02,2456,2072,NULL,NULL,NULL
2020-04-03,2786,2175,NULL,NULL,NULL
2020-04-04,3013,2362,NULL,NULL,NULL
2020-04-05,3135,2550,NULL,NULL,NULL
2020-04-06,3148,2770,NULL,NULL,NULL
2020-04-07,3892,2940,NULL,NULL,NULL
2020-04-08,4117,3221,NULL,NULL,NULL
2020-04-09,4056,3450,NULL,NULL,NULL
2020-04-10,4747,3730,NULL,NULL,NULL
2020-04-11,5138,4033,NULL,NULL,NULL
2020-04-12,4789,4270,NULL,NULL,NULL
2020-04-13,4093,4405,NULL,NULL,NULL
2020-04-14,4062,4429,NULL,NULL,NULL
2020-04-15,4281,4452,NULL,NULL,NULL
2020-04-16,4801,4559,NULL,NULL,NULL
2020-04-17,4353,4502,NULL,NULL,NULL
2020-04-18,3783,4309,NULL,NULL,NULL
2020-04-19,3977,4193,NULL,NULL,NULL
2020-04-20,4674,4276,NULL,NULL,NULL
2020-04-21,4611,4354,NULL,NULL,NULL
2020-04-22,3083,4183,NULL,NULL,NULL
2020-04-23,3116,3942,NULL,NULL,NULL
2020-04-24,3122,3767,NULL,NULL,NULL
2020-04-25,2861,3635,NULL,NULL,NULL
2020-04-26,2357,3403,NULL,NULL,NULL
2020-04-27,2131,3040,NULL,NULL,NULL
2020-04-28,2392,2723,NULL,NULL,NULL
