Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,2,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,0,0,NULL,NULL,NULL
2020-03-07,2,0,NULL,NULL,NULL
2020-03-08,3,1,NULL,NULL,NULL
2020-03-09,2,1,NULL,NULL,NULL
2020-03-10,0,1,NULL,NULL,NULL
2020-03-11,3,1,NULL,NULL,NULL
2020-03-12,0,1,NULL,NULL,NULL
2020-03-13,6,2,NULL,NULL,NULL
2020-03-14,11,3,NULL,NULL,NULL
2020-03-15,1,3,NULL,NULL,NULL
2020-03-16,6,4,NULL,NULL,NULL
2020-03-17,11,5,NULL,NULL,NULL
2020-03-18,7,6,NULL,NULL,NULL
2020-03-19,15,8,NULL,NULL,NULL
2020-03-20,12,9,NULL,NULL,NULL
2020-03-21,18,10,NULL,NULL,NULL
2020-03-22,27,14,NULL,NULL,NULL
2020-03-23,36,18,NULL,NULL,NULL
2020-03-24,20,19,NULL,NULL,NULL
2020-03-25,38,23,NULL,NULL,NULL
2020-03-26,35,26,NULL,NULL,NULL
2020-03-27,39,30,NULL,NULL,NULL
2020-03-28,42,34,NULL,NULL,NULL
2020-03-29,65,39,NULL,NULL,NULL
2020-03-30,38,39,NULL,NULL,NULL
2020-03-31,45,43,NULL,NULL,NULL
2020-04-01,33,42,NULL,NULL,NULL
2020-04-02,59,46,NULL,NULL,NULL
2020-04-03,38,46,NULL,NULL,NULL
2020-04-04,55,47,NULL,NULL,NULL
2020-04-05,55,46,NULL,NULL,NULL
2020-04-06,10,42,NULL,NULL,NULL
2020-04-07,73,46,NULL,NULL,NULL
2020-04-08,77,52,NULL,NULL,NULL
2020-04-09,84,56,NULL,NULL,NULL
2020-04-10,209,80,NULL,NULL,NULL
2020-04-11,120,90,NULL,NULL,NULL
2020-04-12,99,96,NULL,NULL,NULL
2020-04-13,48,101,NULL,NULL,NULL
2020-04-14,53,99,NULL,NULL,NULL
2020-04-15,67,97,NULL,NULL,NULL
2020-04-16,72,95,NULL,NULL,NULL
2020-04-17,111,81,NULL,NULL,NULL
2020-04-18,71,74,NULL,NULL,NULL
2020-04-19,81,72,NULL,NULL,NULL
2020-04-20,67,75,NULL,NULL,NULL
2020-04-21,114,83,NULL,NULL,NULL
2020-04-22,69,84,NULL,NULL,NULL
2020-04-23,116,90,NULL,NULL,NULL
2020-04-24,159,97,NULL,NULL,NULL
2020-04-25,0,86,NULL,NULL,NULL
2020-04-26,56,83,NULL,NULL,NULL
2020-04-27,82,85,NULL,NULL,NULL
2020-04-28,66,78,NULL,NULL,NULL
2020-04-29,77,79,NULL,NULL,NULL
2020-04-30,48,70,NULL,NULL,NULL
2020-05-01,87,59,NULL,NULL,NULL
