Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,1,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,0,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,1,0,NULL,NULL,NULL
2020-03-09,4,1,NULL,NULL,NULL
2020-03-10,2,1,NULL,NULL,NULL
2020-03-11,2,1,NULL,NULL,NULL
2020-03-12,0,1,NULL,NULL,NULL
2020-03-13,7,2,NULL,NULL,NULL
2020-03-14,9,4,NULL,NULL,NULL
2020-03-15,4,4,NULL,NULL,NULL
2020-03-16,4,4,NULL,NULL,NULL
2020-03-17,15,6,NULL,NULL,NULL
2020-03-18,22,9,NULL,NULL,NULL
2020-03-19,15,11,NULL,NULL,NULL
2020-03-20,25,13,NULL,NULL,NULL
2020-03-21,13,14,NULL,NULL,NULL
2020-03-22,15,16,NULL,NULL,NULL
2020-03-23,41,21,NULL,NULL,NULL
2020-03-24,17,21,NULL,NULL,NULL
2020-03-25,24,21,NULL,NULL,NULL
2020-03-26,23,23,NULL,NULL,NULL
2020-03-27,36,24,NULL,NULL,NULL
2020-03-28,25,26,NULL,NULL,NULL
2020-03-29,42,30,NULL,NULL,NULL
2020-03-30,29,28,NULL,NULL,NULL
2020-03-31,22,29,NULL,NULL,NULL
2020-04-01,48,32,NULL,NULL,NULL
2020-04-02,12,31,NULL,NULL,NULL
2020-04-03,35,30,NULL,NULL,NULL
2020-04-04,16,29,NULL,NULL,NULL
2020-04-05,24,27,NULL,NULL,NULL
2020-04-06,9,24,NULL,NULL,NULL
2020-04-07,6,21,NULL,NULL,NULL
2020-04-08,29,19,NULL,NULL,NULL
2020-04-09,12,19,NULL,NULL,NULL
2020-04-10,23,17,NULL,NULL,NULL
2020-04-11,18,17,NULL,NULL,NULL
2020-04-12,21,17,NULL,NULL,NULL
2020-04-13,4,16,NULL,NULL,NULL
2020-04-14,2,16,NULL,NULL,NULL
2020-04-15,9,13,NULL,NULL,NULL
2020-04-16,9,12,NULL,NULL,NULL
2020-04-17,7,10,NULL,NULL,NULL
2020-04-18,30,12,NULL,NULL,NULL
2020-04-19,15,11,NULL,NULL,NULL
2020-04-20,12,12,NULL,NULL,NULL
2020-04-21,9,13,NULL,NULL,NULL
2020-04-22,13,14,NULL,NULL,NULL
2020-04-23,17,15,NULL,NULL,NULL
2020-04-24,6,15,NULL,NULL,NULL
2020-04-25,20,13,NULL,NULL,NULL
2020-04-26,8,12,NULL,NULL,NULL
2020-04-27,6,11,NULL,NULL,NULL
2020-04-28,18,13,NULL,NULL,NULL
2020-04-29,13,13,NULL,NULL,NULL
2020-04-30,9,11,NULL,NULL,NULL
2020-05-01,12,12,NULL,NULL,NULL
