Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,2,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,2,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,1,0,NULL,NULL,NULL
2020-03-06,0,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,0,0,NULL,NULL,NULL
2020-03-09,10,1,NULL,NULL,NULL
2020-03-10,3,2,NULL,NULL,NULL
2020-03-11,0,2,NULL,NULL,NULL
2020-03-12,8,3,NULL,NULL,NULL
2020-03-13,3,3,NULL,NULL,NULL
2020-03-14,21,6,NULL,NULL,NULL
2020-03-15,83,18,NULL,NULL,NULL
2020-03-16,99,31,NULL,NULL,NULL
2020-03-17,62,39,NULL,NULL,NULL
2020-03-18,155,62,NULL,NULL,NULL
2020-03-19,46,67,NULL,NULL,NULL
2020-03-20,229,99,NULL,NULL,NULL
2020-03-21,46,103,NULL,NULL,NULL
2020-03-22,99,105,NULL,NULL,NULL
2020-03-23,97,105,NULL,NULL,NULL
2020-03-24,91,109,NULL,NULL,NULL
2020-03-25,137,106,NULL,NULL,NULL
2020-03-26,171,124,NULL,NULL,NULL
2020-03-27,122,109,NULL,NULL,NULL
2020-03-28,101,117,NULL,NULL,NULL
2020-03-29,120,120,NULL,NULL,NULL
2020-03-30,220,138,NULL,NULL,NULL
2020-03-31,180,150,NULL,NULL,NULL
2020-04-01,302,174,NULL,NULL,NULL
2020-04-02,265,187,NULL,NULL,NULL
2020-04-03,131,188,NULL,NULL,NULL
2020-04-04,339,222,NULL,NULL,NULL
2020-04-05,609,292,NULL,NULL,NULL
2020-04-06,268,299,NULL,NULL,NULL
2020-04-07,228,306,NULL,NULL,NULL
2020-04-08,225,295,NULL,NULL,NULL
2020-04-09,206,287,NULL,NULL,NULL
2020-04-10,315,313,NULL,NULL,NULL
2020-04-11,219,296,NULL,NULL,NULL
2020-04-12,266,247,NULL,NULL,NULL
2020-04-13,341,257,NULL,NULL,NULL
2020-04-14,545,302,NULL,NULL,NULL
2020-04-15,536,347,NULL,NULL,NULL
2020-04-16,105,332,NULL,NULL,NULL
2020-04-17,613,375,NULL,NULL,NULL
2020-04-18,709,445,NULL,NULL,NULL
2020-04-19,69,417,NULL,NULL,NULL
2020-04-20,1147,532,NULL,NULL,NULL
2020-04-21,511,527,NULL,NULL,NULL
2020-04-22,1078,605,NULL,NULL,NULL
2020-04-23,785,702,NULL,NULL,NULL
2020-04-24,782,726,NULL,NULL,NULL
2020-04-25,604,711,NULL,NULL,NULL
2020-04-26,587,785,NULL,NULL,NULL
2020-04-27,697,721,NULL,NULL,NULL
2020-04-28,912,778,NULL,NULL,NULL
2020-04-29,1291,808,NULL,NULL,NULL
2020-04-30,1297,881,NULL,NULL,NULL
2020-05-01,988,911,NULL,NULL,NULL
