Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,1,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,1,0,NULL,NULL,NULL
2020-03-09,0,0,NULL,NULL,NULL
2020-03-10,0,0,NULL,NULL,NULL
2020-03-11,0,0,NULL,NULL,NULL
2020-03-12,0,0,NULL,NULL,NULL
2020-03-13,0,0,NULL,NULL,NULL
2020-03-14,0,0,NULL,NULL,NULL
2020-03-15,0,0,NULL,NULL,NULL
2020-03-16,2,0,NULL,NULL,NULL
2020-03-17,6,1,NULL,NULL,NULL
2020-03-18,0,1,NULL,NULL,NULL
2020-03-19,3,2,NULL,NULL,NULL
2020-03-20,7,3,NULL,NULL,NULL
2020-03-21,7,4,NULL,NULL,NULL
2020-03-22,13,5,NULL,NULL,NULL
2020-03-23,16,7,NULL,NULL,NULL
2020-03-24,10,8,NULL,NULL,NULL
2020-03-25,9,9,NULL,NULL,NULL
2020-03-26,0,9,NULL,NULL,NULL
2020-03-27,16,10,NULL,NULL,NULL
2020-03-28,0,9,NULL,NULL,NULL
2020-03-29,48,14,NULL,NULL,NULL
2020-03-30,0,12,NULL,NULL,NULL
2020-03-31,54,18,NULL,NULL,NULL
2020-04-01,40,23,NULL,NULL,NULL
2020-04-02,73,33,NULL,NULL,NULL
2020-04-03,203,60,NULL,NULL,NULL
2020-04-04,46,66,NULL,NULL,NULL
2020-04-05,95,73,NULL,NULL,NULL
2020-04-06,8,74,NULL,NULL,NULL
2020-04-07,0,66,NULL,NULL,NULL
2020-04-08,72,71,NULL,NULL,NULL
2020-04-09,0,61,NULL,NULL,NULL
2020-04-10,90,44,NULL,NULL,NULL
2020-04-11,0,38,NULL,NULL,NULL
2020-04-12,0,24,NULL,NULL,NULL
2020-04-13,0,23,NULL,NULL,NULL
2020-04-14,28,27,NULL,NULL,NULL
2020-04-15,0,17,NULL,NULL,NULL
2020-04-16,148,38,NULL,NULL,NULL
2020-04-17,0,25,NULL,NULL,NULL
2020-04-18,21,28,NULL,NULL,NULL
2020-04-19,0,28,NULL,NULL,NULL
2020-04-20,146,49,NULL,NULL,NULL
2020-04-21,0,45,NULL,NULL,NULL
2020-04-22,0,45,NULL,NULL,NULL
2020-04-23,171,48,NULL,NULL,NULL
2020-04-24,96,62,NULL,NULL,NULL
2020-04-25,88,72,NULL,NULL,NULL
2020-04-26,103,86,NULL,NULL,NULL
2020-04-27,84,77,NULL,NULL,NULL
2020-04-28,0,77,NULL,NULL,NULL
2020-04-29,127,96,NULL,NULL,NULL
2020-04-30,0,71,NULL,NULL,NULL
2020-05-01,0,57,NULL,NULL,NULL
