Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,0,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,4,1,NULL,NULL,NULL
2020-03-09,0,1,NULL,NULL,NULL
2020-03-10,0,1,NULL,NULL,NULL
2020-03-11,3,1,NULL,NULL,NULL
2020-03-12,0,1,NULL,NULL,NULL
2020-03-13,16,3,NULL,NULL,NULL
2020-03-14,18,6,NULL,NULL,NULL
2020-03-15,10,7,NULL,NULL,NULL
2020-03-16,1,7,NULL,NULL,NULL
2020-03-17,15,9,NULL,NULL,NULL
2020-03-18,25,12,NULL,NULL,NULL
2020-03-19,2,12,NULL,NULL,NULL
2020-03-20,33,15,NULL,NULL,NULL
2020-03-21,36,17,NULL,NULL,NULL
2020-03-22,24,19,NULL,NULL,NULL
2020-03-23,14,21,NULL,NULL,NULL
2020-03-24,17,22,NULL,NULL,NULL
2020-03-25,24,21,NULL,NULL,NULL
2020-03-26,22,24,NULL,NULL,NULL
2020-03-27,29,24,NULL,NULL,NULL
2020-03-28,38,24,NULL,NULL,NULL
2020-03-29,15,23,NULL,NULL,NULL
2020-03-30,13,23,NULL,NULL,NULL
2020-03-31,40,26,NULL,NULL,NULL
2020-04-01,23,26,NULL,NULL,NULL
2020-04-02,35,28,NULL,NULL,NULL
2020-04-03,28,27,NULL,NULL,NULL
2020-04-04,18,25,NULL,NULL,NULL
2020-04-05,28,26,NULL,NULL,NULL
2020-04-06,18,27,NULL,NULL,NULL
2020-04-07,28,25,NULL,NULL,NULL
2020-04-08,16,24,NULL,NULL,NULL
2020-04-09,25,23,NULL,NULL,NULL
2020-04-10,17,21,NULL,NULL,NULL
2020-04-11,26,23,NULL,NULL,NULL
2020-04-12,14,21,NULL,NULL,NULL
2020-04-13,10,19,NULL,NULL,NULL
2020-04-14,28,19,NULL,NULL,NULL
2020-04-15,34,22,NULL,NULL,NULL
2020-04-16,53,26,NULL,NULL,NULL
2020-04-17,46,30,NULL,NULL,NULL
2020-04-18,32,31,NULL,NULL,NULL
2020-04-19,16,31,NULL,NULL,NULL
2020-04-20,35,35,NULL,NULL,NULL
2020-04-21,46,37,NULL,NULL,NULL
2020-04-22,49,40,NULL,NULL,NULL
2020-04-23,73,42,NULL,NULL,NULL
2020-04-24,137,55,NULL,NULL,NULL
2020-04-25,13,53,NULL,NULL,NULL
2020-04-26,53,58,NULL,NULL,NULL
2020-04-27,63,62,NULL,NULL,NULL
2020-04-28,36,61,NULL,NULL,NULL
2020-04-29,48,60,NULL,NULL,NULL
2020-04-30,59,58,NULL,NULL,NULL
2020-05-01,49,46,NULL,NULL,NULL
