Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,5,0,NULL,NULL,NULL
2020-02-29,8,2,NULL,NULL,NULL
2020-03-01,4,2,NULL,NULL,NULL
2020-03-02,6,3,NULL,NULL,NULL
2020-03-03,6,4,NULL,NULL,NULL
2020-03-04,24,7,NULL,NULL,NULL
2020-03-05,31,12,NULL,NULL,NULL
2020-03-06,20,14,NULL,NULL,NULL
2020-03-07,39,18,NULL,NULL,NULL
2020-03-08,28,22,NULL,NULL,NULL
2020-03-09,29,25,NULL,NULL,NULL
2020-03-10,195,52,NULL,NULL,NULL
2020-03-11,197,77,NULL,NULL,NULL
2020-03-12,103,87,NULL,NULL,NULL
2020-03-13,293,126,NULL,NULL,NULL
2020-03-14,93,134,NULL,NULL,NULL
2020-03-15,131,149,NULL,NULL,NULL
2020-03-16,111,161,NULL,NULL,NULL
2020-03-17,130,151,NULL,NULL,NULL
2020-03-18,87,135,NULL,NULL,NULL
2020-03-19,195,149,NULL,NULL,NULL
2020-03-20,168,131,NULL,NULL,NULL
2020-03-21,203,146,NULL,NULL,NULL
2020-03-22,267,166,NULL,NULL,NULL
2020-03-23,235,183,NULL,NULL,NULL
2020-03-24,242,200,NULL,NULL,NULL
2020-03-25,220,219,NULL,NULL,NULL
2020-03-26,285,231,NULL,NULL,NULL
2020-03-27,385,262,NULL,NULL,NULL
2020-03-28,260,271,NULL,NULL,NULL
2020-03-29,268,271,NULL,NULL,NULL
2020-03-30,160,260,NULL,NULL,NULL
2020-03-31,195,253,NULL,NULL,NULL
2020-04-01,222,254,NULL,NULL,NULL
2020-04-02,283,253,NULL,NULL,NULL
2020-04-03,223,230,NULL,NULL,NULL
2020-04-04,179,219,NULL,NULL,NULL
2020-04-05,137,200,NULL,NULL,NULL
2020-04-06,178,202,NULL,NULL,NULL
2020-04-07,220,206,NULL,NULL,NULL
2020-04-08,0,174,NULL,NULL,NULL
2020-04-09,124,152,NULL,NULL,NULL
2020-04-10,103,134,NULL,NULL,NULL
2020-04-11,95,122,NULL,NULL,NULL
2020-04-12,115,119,NULL,NULL,NULL
2020-04-13,77,105,NULL,NULL,NULL
2020-04-14,20,76,NULL,NULL,NULL
2020-04-15,116,93,NULL,NULL,NULL
2020-04-16,156,97,NULL,NULL,NULL
2020-04-17,40,88,NULL,NULL,NULL
2020-04-18,99,89,NULL,NULL,NULL
2020-04-19,41,78,NULL,NULL,NULL
2020-04-20,78,79,NULL,NULL,NULL
2020-04-21,35,81,NULL,NULL,NULL
2020-04-22,146,85,NULL,NULL,NULL
2020-04-23,62,72,NULL,NULL,NULL
2020-04-24,62,75,NULL,NULL,NULL
2020-04-25,35,66,NULL,NULL,NULL
2020-04-26,28,64,NULL,NULL,NULL
2020-04-27,71,63,NULL,NULL,NULL
2020-04-28,61,67,NULL,NULL,NULL
2020-04-29,49,53,NULL,NULL,NULL
2020-04-30,27,48,NULL,NULL,NULL
2020-05-01,45,45,NULL,NULL,NULL
