Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,1,0,NULL,NULL,NULL
2020-02-26,2,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,2,1,NULL,NULL,NULL
2020-02-29,1,1,NULL,NULL,NULL
2020-03-01,1,1,NULL,NULL,NULL
2020-03-02,0,1,NULL,NULL,NULL
2020-03-03,2,1,NULL,NULL,NULL
2020-03-04,1,1,NULL,NULL,NULL
2020-03-05,0,1,NULL,NULL,NULL
2020-03-06,1,1,NULL,NULL,NULL
2020-03-07,1,1,NULL,NULL,NULL
2020-03-08,0,1,NULL,NULL,NULL
2020-03-09,0,1,NULL,NULL,NULL
2020-03-10,2,1,NULL,NULL,NULL
2020-03-11,5,1,NULL,NULL,NULL
2020-03-12,0,1,NULL,NULL,NULL
2020-03-13,13,3,NULL,NULL,NULL
2020-03-14,6,4,NULL,NULL,NULL
2020-03-15,11,5,NULL,NULL,NULL
2020-03-16,8,6,NULL,NULL,NULL
2020-03-17,8,7,NULL,NULL,NULL
2020-03-18,16,9,NULL,NULL,NULL
2020-03-19,24,12,NULL,NULL,NULL
2020-03-20,23,14,NULL,NULL,NULL
2020-03-21,78,24,NULL,NULL,NULL
2020-03-22,48,29,NULL,NULL,NULL
2020-03-23,61,37,NULL,NULL,NULL
2020-03-24,67,45,NULL,NULL,NULL
2020-03-25,60,52,NULL,NULL,NULL
2020-03-26,53,56,NULL,NULL,NULL
2020-03-27,91,65,NULL,NULL,NULL
2020-03-28,71,64,NULL,NULL,NULL
2020-03-29,56,66,NULL,NULL,NULL
2020-03-30,77,68,NULL,NULL,NULL
2020-03-31,77,69,NULL,NULL,NULL
2020-04-01,96,74,NULL,NULL,NULL
2020-04-02,48,74,NULL,NULL,NULL
2020-04-03,68,70,NULL,NULL,NULL
2020-04-04,47,67,NULL,NULL,NULL
2020-04-05,56,67,NULL,NULL,NULL
2020-04-06,40,62,NULL,NULL,NULL
2020-04-07,60,59,NULL,NULL,NULL
2020-04-08,61,54,NULL,NULL,NULL
2020-04-09,64,57,NULL,NULL,NULL
2020-04-10,88,59,NULL,NULL,NULL
2020-04-11,39,58,NULL,NULL,NULL
2020-04-12,66,60,NULL,NULL,NULL
2020-04-13,50,61,NULL,NULL,NULL
2020-04-14,54,60,NULL,NULL,NULL
2020-04-15,37,57,NULL,NULL,NULL
2020-04-16,50,55,NULL,NULL,NULL
2020-04-17,23,46,NULL,NULL,NULL
2020-04-18,18,43,NULL,NULL,NULL
2020-04-19,39,39,NULL,NULL,NULL
2020-04-20,10,33,NULL,NULL,NULL
2020-04-21,27,29,NULL,NULL,NULL
2020-04-22,42,30,NULL,NULL,NULL
2020-04-23,31,27,NULL,NULL,NULL
2020-04-24,28,28,NULL,NULL,NULL
2020-04-25,7,26,NULL,NULL,NULL
2020-04-26,14,23,NULL,NULL,NULL
2020-04-27,9,23,NULL,NULL,NULL
2020-04-28,8,20,NULL,NULL,NULL
2020-04-29,15,16,NULL,NULL,NULL
2020-04-30,14,14,NULL,NULL,NULL
2020-05-01,9,11,NULL,NULL,NULL
