Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,1,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,1,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,2,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,4,1,NULL,NULL,NULL
2020-03-09,10,2,NULL,NULL,NULL
2020-03-10,13,4,NULL,NULL,NULL
2020-03-11,16,6,NULL,NULL,NULL
2020-03-12,2,6,NULL,NULL,NULL
2020-03-13,12,8,NULL,NULL,NULL
2020-03-14,47,15,NULL,NULL,NULL
2020-03-15,28,18,NULL,NULL,NULL
2020-03-16,2,17,NULL,NULL,NULL
2020-03-17,45,22,NULL,NULL,NULL
2020-03-18,14,21,NULL,NULL,NULL
2020-03-19,14,23,NULL,NULL,NULL
2020-03-20,12,23,NULL,NULL,NULL
2020-03-21,77,27,NULL,NULL,NULL
2020-03-22,73,34,NULL,NULL,NULL
2020-03-23,82,45,NULL,NULL,NULL
2020-03-24,89,52,NULL,NULL,NULL
2020-03-25,84,62,NULL,NULL,NULL
2020-03-26,71,70,NULL,NULL,NULL
2020-03-27,95,81,NULL,NULL,NULL
2020-03-28,271,109,NULL,NULL,NULL
2020-03-29,343,148,NULL,NULL,NULL
2020-03-30,128,154,NULL,NULL,NULL
2020-03-31,537,218,NULL,NULL,NULL
2020-04-01,227,239,NULL,NULL,NULL
2020-04-02,321,275,NULL,NULL,NULL
2020-04-03,385,316,NULL,NULL,NULL
2020-04-04,76,288,NULL,NULL,NULL
2020-04-05,151,261,NULL,NULL,NULL
2020-04-06,414,302,NULL,NULL,NULL
2020-04-07,104,240,NULL,NULL,NULL
2020-04-08,105,222,NULL,NULL,NULL
2020-04-09,206,206,NULL,NULL,NULL
2020-04-10,118,168,NULL,NULL,NULL
2020-04-11,233,190,NULL,NULL,NULL
2020-04-12,220,200,NULL,NULL,NULL
2020-04-13,283,181,NULL,NULL,NULL
2020-04-14,291,208,NULL,NULL,NULL
2020-04-15,230,226,NULL,NULL,NULL
2020-04-16,206,226,NULL,NULL,NULL
2020-04-17,218,240,NULL,NULL,NULL
2020-04-18,208,237,NULL,NULL,NULL
2020-04-19,172,230,NULL,NULL,NULL
2020-04-20,200,218,NULL,NULL,NULL
2020-04-21,140,196,NULL,NULL,NULL
2020-04-22,110,179,NULL,NULL,NULL
2020-04-23,271,188,NULL,NULL,NULL
2020-04-24,210,187,NULL,NULL,NULL
2020-04-25,102,172,NULL,NULL,NULL
2020-04-26,284,188,NULL,NULL,NULL
2020-04-27,198,188,NULL,NULL,NULL
2020-04-28,180,194,NULL,NULL,NULL
2020-04-29,253,214,NULL,NULL,NULL
2020-04-30,276,215,NULL,NULL,NULL
2020-05-01,284,225,NULL,NULL,NULL
