Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,2,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,2,0,NULL,NULL,NULL
2020-03-05,3,1,NULL,NULL,NULL
2020-03-06,4,1,NULL,NULL,NULL
2020-03-07,7,2,NULL,NULL,NULL
2020-03-08,9,4,NULL,NULL,NULL
2020-03-09,0,4,NULL,NULL,NULL
2020-03-10,10,5,NULL,NULL,NULL
2020-03-11,18,7,NULL,NULL,NULL
2020-03-12,0,7,NULL,NULL,NULL
2020-03-13,52,14,NULL,NULL,NULL
2020-03-14,57,21,NULL,NULL,NULL
2020-03-15,76,30,NULL,NULL,NULL
2020-03-16,85,42,NULL,NULL,NULL
2020-03-17,116,58,NULL,NULL,NULL
2020-03-18,0,55,NULL,NULL,NULL
2020-03-19,337,103,NULL,NULL,NULL
2020-03-20,234,129,NULL,NULL,NULL
2020-03-21,260,158,NULL,NULL,NULL
2020-03-22,319,193,NULL,NULL,NULL
2020-03-23,459,246,NULL,NULL,NULL
2020-03-24,302,273,NULL,NULL,NULL
2020-03-25,632,363,NULL,NULL,NULL
2020-03-26,549,394,NULL,NULL,NULL
2020-03-27,723,463,NULL,NULL,NULL
2020-03-28,902,555,NULL,NULL,NULL
2020-03-29,792,623,NULL,NULL,NULL
2020-03-30,445,621,NULL,NULL,NULL
2020-03-31,1035,725,NULL,NULL,NULL
2020-04-01,808,750,NULL,NULL,NULL
2020-04-02,782,784,NULL,NULL,NULL
2020-04-03,851,802,NULL,NULL,NULL
2020-04-04,637,764,NULL,NULL,NULL
2020-04-05,754,759,NULL,NULL,NULL
2020-04-06,451,760,NULL,NULL,NULL
2020-04-07,712,714,NULL,NULL,NULL
2020-04-08,698,698,NULL,NULL,NULL
2020-04-09,815,703,NULL,NULL,NULL
2020-04-10,1516,798,NULL,NULL,NULL
2020-04-11,514,780,NULL,NULL,NULL
2020-04-12,597,758,NULL,NULL,NULL
2020-04-13,349,743,NULL,NULL,NULL
2020-04-14,513,715,NULL,NULL,NULL
2020-04-15,643,707,NULL,NULL,NULL
2020-04-16,750,697,NULL,NULL,NULL
2020-04-17,181,507,NULL,NULL,NULL
2020-04-18,662,528,NULL,NULL,NULL
2020-04-19,521,517,NULL,NULL,NULL
2020-04-20,656,561,NULL,NULL,NULL
2020-04-21,515,561,NULL,NULL,NULL
2020-04-22,602,555,NULL,NULL,NULL
2020-04-23,371,501,NULL,NULL,NULL
2020-04-24,444,539,NULL,NULL,NULL
2020-04-25,595,529,NULL,NULL,NULL
2020-04-26,472,522,NULL,NULL,NULL
2020-04-27,162,451,NULL,NULL,NULL
2020-04-28,294,420,NULL,NULL,NULL
2020-04-29,183,360,NULL,NULL,NULL
2020-04-30,539,384,NULL,NULL,NULL
2020-05-01,306,364,NULL,NULL,NULL
