Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,0,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,3,0,NULL,NULL,NULL
2020-03-09,0,0,NULL,NULL,NULL
2020-03-10,0,0,NULL,NULL,NULL
2020-03-11,0,0,NULL,NULL,NULL
2020-03-12,0,0,NULL,NULL,NULL
2020-03-13,0,0,NULL,NULL,NULL
2020-03-14,0,0,NULL,NULL,NULL
2020-03-15,2,0,NULL,NULL,NULL
2020-03-16,3,1,NULL,NULL,NULL
2020-03-17,2,1,NULL,NULL,NULL
2020-03-18,4,2,NULL,NULL,NULL
2020-03-19,3,2,NULL,NULL,NULL
2020-03-20,3,2,NULL,NULL,NULL
2020-03-21,5,3,NULL,NULL,NULL
2020-03-22,2,3,NULL,NULL,NULL
2020-03-23,6,4,NULL,NULL,NULL
2020-03-24,6,4,NULL,NULL,NULL
2020-03-25,0,4,NULL,NULL,NULL
2020-03-26,5,4,NULL,NULL,NULL
2020-03-27,4,4,NULL,NULL,NULL
2020-03-28,0,3,NULL,NULL,NULL
2020-03-29,0,3,NULL,NULL,NULL
2020-03-30,1,2,NULL,NULL,NULL
2020-03-31,2,2,NULL,NULL,NULL
2020-04-01,3,2,NULL,NULL,NULL
2020-04-02,2,2,NULL,NULL,NULL
2020-04-03,5,2,NULL,NULL,NULL
2020-04-04,9,3,NULL,NULL,NULL
2020-04-05,18,6,NULL,NULL,NULL
2020-04-06,35,11,NULL,NULL,NULL
2020-04-07,41,16,NULL,NULL,NULL
2020-04-08,54,23,NULL,NULL,NULL
2020-04-09,112,39,NULL,NULL,NULL
2020-04-10,94,52,NULL,NULL,NULL
2020-04-11,58,59,NULL,NULL,NULL
2020-04-12,139,76,NULL,NULL,NULL
2020-04-13,182,97,NULL,NULL,NULL
2020-04-14,209,121,NULL,NULL,NULL
2020-04-15,219,145,NULL,NULL,NULL
2020-04-16,341,177,NULL,NULL,NULL
2020-04-17,266,202,NULL,NULL,NULL
2020-04-18,306,237,NULL,NULL,NULL
2020-04-19,312,262,NULL,NULL,NULL
2020-04-20,492,306,NULL,NULL,NULL
2020-04-21,434,339,NULL,NULL,NULL
2020-04-22,390,363,NULL,NULL,NULL
2020-04-23,414,373,NULL,NULL,NULL
2020-04-24,503,407,NULL,NULL,NULL
2020-04-25,309,408,NULL,NULL,NULL
2020-04-26,418,423,NULL,NULL,NULL
2020-04-27,497,424,NULL,NULL,NULL
2020-04-28,549,440,NULL,NULL,NULL
2020-04-29,641,476,NULL,NULL,NULL
2020-04-30,564,497,NULL,NULL,NULL
2020-05-01,571,507,NULL,NULL,NULL
