Date,history,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL
2020-01-28,0,NULL,NULL,NULL
2020-01-29,0,NULL,NULL,NULL
2020-01-30,0,NULL,NULL,NULL
2020-01-31,0,NULL,NULL,NULL
2020-02-01,0,NULL,NULL,NULL
2020-02-02,0,NULL,NULL,NULL
2020-02-03,0,NULL,NULL,NULL
2020-02-04,0,NULL,NULL,NULL
2020-02-05,0,NULL,NULL,NULL
2020-02-06,0,NULL,NULL,NULL
2020-02-07,0,NULL,NULL,NULL
2020-02-08,0,NULL,NULL,NULL
2020-02-09,0,NULL,NULL,NULL
2020-02-10,0,NULL,NULL,NULL
2020-02-11,0,NULL,NULL,NULL
2020-02-12,0,NULL,NULL,NULL
2020-02-13,0,NULL,NULL,NULL
2020-02-14,0,NULL,NULL,NULL
2020-02-15,0,NULL,NULL,NULL
2020-02-16,0,NULL,NULL,NULL
2020-02-17,0,NULL,NULL,NULL
2020-02-18,0,NULL,NULL,NULL
2020-02-19,0,NULL,NULL,NULL
2020-02-20,0,NULL,NULL,NULL
2020-02-21,0,NULL,NULL,NULL
2020-02-22,0,NULL,NULL,NULL
2020-02-23,0,NULL,NULL,NULL
2020-02-24,0,NULL,NULL,NULL
2020-02-25,0,NULL,NULL,NULL
2020-02-26,0,NULL,NULL,NULL
2020-02-27,0,NULL,NULL,NULL
2020-02-28,1,NULL,NULL,NULL
2020-02-29,0,NULL,NULL,NULL
2020-03-01,0,NULL,NULL,NULL
2020-03-02,0,NULL,NULL,NULL
2020-03-03,0,NULL,NULL,NULL
2020-03-04,5,NULL,NULL,NULL
2020-03-05,0,NULL,NULL,NULL
2020-03-06,0,NULL,NULL,NULL
2020-03-07,0,NULL,NULL,NULL
2020-03-08,0,NULL,NULL,NULL
2020-03-09,0,NULL,NULL,NULL
2020-03-10,2,NULL,NULL,NULL
2020-03-11,0,NULL,NULL,NULL
2020-03-12,3,NULL,NULL,NULL
2020-03-13,14,NULL,NULL,NULL
2020-03-14,0,NULL,NULL,NULL
2020-03-15,0,NULL,NULL,NULL
2020-03-16,9,NULL,NULL,NULL
2020-03-17,0,NULL,NULL,NULL
2020-03-18,14,NULL,NULL,NULL
2020-03-19,0,NULL,NULL,NULL
2020-03-20,18,NULL,NULL,NULL
2020-03-21,7,NULL,NULL,NULL
2020-03-22,0,NULL,NULL,NULL
2020-03-23,4,NULL,NULL,NULL
2020-03-24,0,NULL,NULL,NULL
2020-03-25,5,NULL,NULL,NULL
2020-03-26,0,NULL,NULL,NULL
2020-03-27,7,NULL,NULL,NULL
2020-03-28,0,NULL,NULL,NULL
2020-03-29,0,NULL,NULL,NULL
2020-03-30,58,NULL,NULL,NULL
2020-03-31,0,NULL,NULL,NULL
2020-04-01,10,NULL,NULL,NULL
2020-04-02,141,NULL,NULL,NULL
2020-04-03,46,NULL,NULL,NULL
2020-04-04,89,NULL,NULL,NULL
2020-04-05,122,NULL,NULL,NULL
2020-04-06,137,NULL,NULL,NULL
2020-04-07,161,NULL,NULL,NULL
2020-04-08,204,NULL,NULL,NULL
2020-04-09,420,NULL,NULL,NULL
2020-04-10,494,NULL,NULL,NULL
2020-04-11,245,NULL,NULL,NULL
2020-04-12,351,NULL,NULL,NULL
2020-04-13,340,NULL,NULL,NULL
2020-04-14,361,NULL,NULL,NULL
2020-04-15,447,NULL,NULL,NULL
2020-04-16,475,NULL,NULL,NULL
2020-04-17,575,NULL,NULL,NULL
2020-04-18,518,NULL,NULL,NULL
2020-04-19,510,NULL,NULL,NULL
2020-04-20,456,NULL,NULL,NULL
2020-04-21,459,NULL,NULL,NULL
2020-04-22,557,NULL,NULL,NULL
2020-04-23,741,NULL,NULL,NULL
2020-04-24,750,NULL,NULL,NULL
2020-04-25,816,NULL,NULL,NULL
2020-04-26,873,NULL,NULL,NULL
2020-04-27,826,NULL,NULL,NULL
2020-04-28,918,NULL,NULL,NULL
2020-04-29,972,NULL,NULL,NULL
2020-04-30,845,NULL,NULL,NULL
2020-05-01,890,NULL,NULL,NULL
2020-05-02,910,NULL,NULL,NULL
2020-05-03,877,NULL,NULL,NULL
2020-05-04,783,NULL,NULL,NULL
2020-05-05,861,NULL,NULL,NULL
2020-05-06,904,NULL,NULL,NULL
2020-05-07,912,NULL,NULL,NULL
