Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,1,NULL,NULL,NULL,NULL
2020-01-25,1,NULL,NULL,NULL,NULL
2020-01-26,2,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,6,1,NULL,NULL,NULL
2020-01-29,0,1,NULL,NULL,NULL
2020-01-30,0,1,NULL,NULL,NULL
2020-01-31,5,2,NULL,NULL,NULL
2020-02-01,0,2,NULL,NULL,NULL
2020-02-02,0,2,NULL,NULL,NULL
2020-02-03,0,2,NULL,NULL,NULL
2020-02-04,6,2,NULL,NULL,NULL
2020-02-05,0,2,NULL,NULL,NULL
2020-02-06,0,2,NULL,NULL,NULL
2020-02-07,0,1,NULL,NULL,NULL
2020-02-08,7,2,NULL,NULL,NULL
2020-02-09,0,2,NULL,NULL,NULL
2020-02-10,0,2,NULL,NULL,NULL
2020-02-11,1,1,NULL,NULL,NULL
2020-02-12,0,1,NULL,NULL,NULL
2020-02-13,0,1,NULL,NULL,NULL
2020-02-14,0,1,NULL,NULL,NULL
2020-02-15,1,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,1,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,2,0,NULL,NULL,NULL
2020-02-26,3,1,NULL,NULL,NULL
2020-02-27,0,1,NULL,NULL,NULL
2020-02-28,1,1,NULL,NULL,NULL
2020-02-29,1,1,NULL,NULL,NULL
2020-03-01,0,1,NULL,NULL,NULL
2020-03-02,1,1,NULL,NULL,NULL
2020-03-03,0,1,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,4,1,NULL,NULL,NULL
2020-03-06,1,1,NULL,NULL,NULL
2020-03-07,2,1,NULL,NULL,NULL
2020-03-08,0,1,NULL,NULL,NULL
2020-03-09,0,1,NULL,NULL,NULL
2020-03-10,3,1,NULL,NULL,NULL
2020-03-11,6,2,NULL,NULL,NULL
2020-03-12,11,3,NULL,NULL,NULL
2020-03-13,5,4,NULL,NULL,NULL
2020-03-14,7,5,NULL,NULL,NULL
2020-03-15,32,9,NULL,NULL,NULL
2020-03-16,33,14,NULL,NULL,NULL
